gene_id,annotation
group_0061_genome_026_0,unknown function
group_0061_genome_028_0,DNA polymerase
group_0062_genome_003_0,membrane protein
group_0062_genome_025_0,hypothetical protein
group_0063_genome_001_0,hypothetical protein
group_0063_genome_002_0,DNA polymerase
group_0063_genome_003_0,DNA polymerase
group_0063_genome_004_0,DNA polymerase
group_0063_genome_005_0,DNA polymerase
group_0063_genome_006_0,DNA polymerase
group_0063_genome_007_0,DNA polymerase
group_0063_genome_008_0,DNA polymerase
group_0063_genome_009_0,DNA polymerase
group_0063_genome_010_0,DNA polymerase
group_0063_genome_011_0,DNA polymerase
group_0063_genome_012_0,DNA polymerase
group_0063_genome_013_0,DNA polymerase
group_0063_genome_014_0,DNA polymerase
group_0063_genome_015_0,hypothetical protein
group_0063_genome_016_0,DNA polymerase
group_0063_genome_017_0,DNA polymerase
group_0063_genome_018_0,DNA polymerase
group_0063_genome_019_0,DNA polymerase
group_0063_genome_020_0,DNA polymerase
group_0063_genome_021_0,DNA polymerase
group_0063_genome_022_0,DNA polymerase
group_0063_genome_023_0,DNA polymerase
group_0063_genome_024_0,DNA polymerase
group_0063_genome_025_0,DNA polymerase
group_0063_genome_026_0,DNA polymerase
group_0063_genome_027_0,DNA polymerase
group_0063_genome_028_0,DNA polymerase
group_0063_genome_029_0,membrane protein
group_0064_genome_001_0,membrane transporter
group_0064_genome_002_0,membrane transporter
group_0064_genome_003_0,membrane transporter
group_0064_genome_004_0,membrane transporter
group_0064_genome_005_0,membrane transporter
group_0064_genome_006_0,membrane transporter
group_0064_genome_007_0,membrane transporter
group_0064_genome_008_0,unknown function
group_0064_genome_009_0,membrane transporter
group_0064_genome_010_0,membrane transporter
group_0064_genome_011_0,membrane transporter
group_0064_genome_012_0,membrane transporter
group_0064_genome_013_0,membrane transporter
group_0064_genome_014_0,membrane transporter
group_0064_genome_015_0,membrane protein
group_0064_genome_016_0,membrane transporter
group_0064_genome_017_0,membrane transporter
group_0064_genome_018_0,membrane transporter
group_0064_genome_019_0,unknown function
group_0064_genome_020_0,membrane transporter
group_0064_genome_021_0,membrane transporter
group_0064_genome_022_0,membrane protein
group_0064_genome_023_0,membrane transporter
group_0064_genome_025_0,hypothetical protein
group_0064_genome_026_0,membrane transporter
group_0064_genome_027_0,membrane protein
group_0064_genome_028_0,membrane transporter
group_0064_genome_029_0,hypothetical protein
group_0064_genome_030_0,membrane transporter
group_0065_genome_001_0,hypothetical protein
group_0065_genome_002_0,hypothetical protein
group_0065_genome_003_0,hypothetical protein
group_0065_genome_004_0,hypothetical protein
group_0065_genome_005_0,hypothetical protein
group_0065_genome_006_0,hypothetical protein
group_0065_genome_007_0,hypothetical protein
group_0065_genome_008_0,hypothetical protein
group_0065_genome_009_0,hypothetical protein
group_0065_genome_010_0,unknown function
group_0065_genome_011_0,hypothetical protein
group_0065_genome_012_0,hypothetical protein
group_0065_genome_013_0,hypothetical protein
group_0065_genome_014_0,hypothetical protein
group_0065_genome_015_0,hypothetical protein
group_0065_genome_016_0,hypothetical protein
group_0065_genome_017_0,hypothetical protein
group_0065_genome_019_0,hypothetical protein
group_0065_genome_020_0,hypothetical protein
group_0065_genome_021_0,hypothetical protein
group_0065_genome_022_0,hypothetical protein
group_0065_genome_023_0,membrane protein
group_0065_genome_024_0,hypothetical protein
group_0065_genome_025_0,hypothetical protein
group_0065_genome_026_0,hypothetical protein
group_0065_genome_027_0,hypothetical protein
group_0065_genome_028_0,hypothetical protein
group_0065_genome_030_0,hypothetical protein
group_0066_genome_008_0,hypothetical protein
group_0067_genome_005_0,hypothetical protein
group_0067_genome_012_0,hypothetical protein
group_0068_genome_001_0,beta-lactamase
group_0068_genome_002_0,beta-lactamase
group_0068_genome_003_0,beta-lactamase
group_0068_genome_004_0,beta-lactamase
group_0068_genome_005_0,beta-lactamase
group_0068_genome_006_0,beta-lactamase
group_0068_genome_007_0,beta-lactamase
group_0068_genome_008_0,beta-lactamase
group_0068_genome_009_0,beta-lactamase
group_0068_genome_010_0,beta-lactamase
group_0068_genome_011_0,beta-lactamase
group_0068_genome_011_1,hypothetical protein
group_0068_genome_012_0,beta-lactamase
group_0068_genome_013_0,beta-lactamase
group_0068_genome_014_0,beta-lactamase
group_0068_genome_015_0,beta-lactamase
group_0068_genome_016_0,beta-lactamase
group_0068_genome_017_0,beta-lactamase
group_0068_genome_018_0,beta-lactamase
group_0068_genome_019_0,unknown function
group_0068_genome_020_0,beta-lactamase
group_0068_genome_021_0,hypothetical protein
group_0068_genome_022_0,beta-lactamase
group_0068_genome_023_0,beta-lactamase
group_0068_genome_023_1,beta-lactamase
group_0068_genome_024_0,beta-lactamase
group_0068_genome_025_0,beta-lactamase
group_0068_genome_026_0,beta-lactamase
group_0068_genome_027_0,beta-lactamase
group_0068_genome_028_0,beta-lactamase
group_0068_genome_029_0,beta-lactamase
group_0068_genome_030_0,beta-lactamase
group_0069_genome_001_0,virulence factor
group_0069_genome_002_0,virulence factor
group_0069_genome_003_0,virulence factor
group_0069_genome_004_0,virulence factor
group_0069_genome_005_0,virulence factor
group_0069_genome_006_0,virulence factor
group_0069_genome_007_0,virulence factor
group_0069_genome_007_1,virulence factor
group_0069_genome_008_0,virulence factor
group_0069_genome_009_0,virulence factor
group_0069_genome_010_0,virulence factor
group_0069_genome_011_0,virulence factor
group_0069_genome_012_0,virulence factor
group_0069_genome_013_0,virulence factor
group_0069_genome_014_0,virulence factor
group_0069_genome_015_0,unknown function
group_0069_genome_016_0,virulence factor
group_0069_genome_017_0,virulence factor
group_0069_genome_018_0,virulence factor
group_0069_genome_019_0,virulence factor
group_0069_genome_020_0,hypothetical protein
group_0069_genome_021_0,virulence factor
group_0069_genome_022_0,virulence factor
group_0069_genome_023_0,virulence factor
group_0069_genome_024_0,virulence factor
group_0069_genome_025_0,virulence factor
group_0069_genome_026_0,virulence factor
group_0069_genome_027_0,virulence factor
group_0069_genome_028_0,virulence factor
group_0069_genome_029_0,virulence factor
group_0069_genome_030_0,virulence factor
group_0070_genome_002_0,virulence factor
group_0070_genome_003_0,virulence factor
group_0070_genome_003_1,virulence factor
group_0070_genome_004_0,virulence factor
group_0070_genome_005_0,virulence factor
group_0070_genome_006_0,virulence factor
group_0070_genome_009_0,hypothetical protein
group_0070_genome_011_0,virulence factor
group_0070_genome_012_0,virulence factor
group_0070_genome_015_0,unknown function
group_0070_genome_017_0,hypothetical protein
group_0070_genome_021_0,virulence factor
group_0070_genome_022_0,virulence factor
group_0070_genome_025_0,virulence factor
group_0070_genome_026_0,virulence factor
group_0070_genome_028_0,virulence factor
group_0071_genome_022_0,membrane transporter
group_0072_genome_002_0,hypothetical protein
group_0072_genome_003_0,hypothetical protein
group_0072_genome_006_0,hypothetical protein
group_0072_genome_009_0,unknown function
group_0072_genome_012_0,hypothetical protein
group_0072_genome_013_0,hypothetical protein
group_0072_genome_015_0,hypothetical protein
group_0072_genome_017_0,hypothetical protein
group_0072_genome_018_0,hypothetical protein
group_0072_genome_020_0,hypothetical protein
group_0072_genome_022_0,unknown function
group_0072_genome_023_0,hypothetical protein
group_0072_genome_025_0,hypothetical protein
group_0072_genome_026_0,hypothetical protein
group_0072_genome_028_0,hypothetical protein
group_0072_genome_029_0,hypothetical protein
group_0072_genome_030_0,hypothetical protein
group_0073_genome_001_0,unknown function
group_0073_genome_002_0,efflux pump
group_0073_genome_003_0,efflux pump
group_0073_genome_004_0,efflux pump
group_0073_genome_004_1,efflux pump
group_0073_genome_005_0,unknown function
group_0073_genome_006_0,hypothetical protein
group_0073_genome_007_0,efflux pump
group_0073_genome_008_0,membrane protein
group_0073_genome_009_0,unknown function
group_0073_genome_010_0,efflux pump
group_0073_genome_011_0,efflux pump
group_0073_genome_012_0,efflux pump
group_0073_genome_013_0,efflux pump
group_0073_genome_014_0,efflux pump
group_0073_genome_015_0,efflux pump
group_0073_genome_016_0,efflux pump
group_0073_genome_017_0,hypothetical protein
group_0073_genome_018_0,efflux pump
group_0073_genome_019_0,efflux pump
group_0073_genome_020_0,efflux pump
group_0073_genome_021_0,efflux pump
group_0073_genome_022_0,efflux pump
group_0073_genome_023_0,efflux pump
group_0073_genome_024_0,hypothetical protein
group_0073_genome_025_0,hypothetical protein
group_0073_genome_026_0,efflux pump
group_0073_genome_026_1,efflux pump
group_0073_genome_027_0,efflux pump
group_0073_genome_028_0,efflux pump
group_0073_genome_029_0,efflux pump
group_0073_genome_030_0,efflux pump
group_0074_genome_001_0,membrane transporter
group_0074_genome_002_0,membrane transporter
group_0074_genome_003_0,membrane transporter
group_0074_genome_004_0,membrane transporter
group_0074_genome_005_0,membrane transporter
group_0074_genome_006_0,membrane transporter
group_0074_genome_007_0,membrane transporter
group_0074_genome_008_0,membrane transporter
group_0074_genome_009_0,membrane transporter
group_0074_genome_010_0,unknown function
group_0074_genome_011_0,membrane transporter
group_0074_genome_012_0,membrane transporter
group_0074_genome_013_0,membrane transporter
group_0074_genome_014_0,membrane transporter
group_0074_genome_015_0,membrane transporter
group_0074_genome_016_0,membrane transporter
group_0074_genome_017_0,membrane transporter
group_0074_genome_018_0,membrane transporter
group_0074_genome_019_0,membrane transporter
group_0074_genome_020_0,membrane transporter
group_0074_genome_021_0,membrane transporter
group_0074_genome_022_0,membrane transporter
group_0074_genome_023_0,membrane transporter
group_0074_genome_024_0,membrane transporter
group_0074_genome_025_0,membrane transporter
group_0074_genome_026_0,hypothetical protein
group_0074_genome_027_0,membrane transporter
group_0074_genome_028_0,membrane transporter
group_0074_genome_029_0,membrane transporter
group_0074_genome_030_0,membrane transporter
group_0075_genome_002_0,virulence factor
group_0075_genome_015_0,virulence factor
group_0075_genome_028_0,virulence factor
group_0076_genome_001_0,flagellar protein
group_0076_genome_002_0,flagellar protein
group_0076_genome_003_0,flagellar protein
group_0076_genome_005_0,membrane protein
group_0076_genome_006_0,flagellar protein
group_0076_genome_007_0,flagellar protein
group_0076_genome_008_0,flagellar protein
group_0076_genome_009_0,flagellar protein
group_0076_genome_010_0,flagellar protein
group_0076_genome_011_0,flagellar protein
group_0076_genome_012_0,unknown function
group_0076_genome_013_0,unknown function
group_0076_genome_014_0,flagellar protein
group_0076_genome_015_0,flagellar protein
group_0076_genome_016_0,flagellar protein
group_0076_genome_017_0,unknown function
group_0076_genome_018_0,flagellar protein
group_0076_genome_019_0,flagellar protein
group_0076_genome_020_0,flagellar protein
group_0076_genome_021_0,flagellar protein
group_0076_genome_022_0,flagellar protein
group_0076_genome_023_0,flagellar protein
group_0076_genome_024_0,membrane protein
group_0076_genome_024_1,flagellar protein
group_0076_genome_025_0,flagellar protein
group_0076_genome_026_0,flagellar protein
group_0076_genome_027_0,flagellar protein
group_0076_genome_028_0,flagellar protein
group_0076_genome_029_0,flagellar protein
group_0076_genome_030_0,membrane protein
group_0077_genome_019_0,beta-lactamase
group_0077_genome_021_0,beta-lactamase
group_0078_genome_001_0,efflux pump
group_0078_genome_002_0,efflux pump
group_0078_genome_002_1,efflux pump
group_0078_genome_003_0,efflux pump
group_0078_genome_004_0,efflux pump
group_0078_genome_005_0,efflux pump
group_0078_genome_006_0,efflux pump
group_0078_genome_007_0,efflux pump
group_0078_genome_008_0,efflux pump
group_0078_genome_009_0,efflux pump
group_0078_genome_010_0,efflux pump
group_0078_genome_011_0,efflux pump
group_0078_genome_012_0,efflux pump
group_0078_genome_013_0,efflux pump
group_0078_genome_014_0,hypothetical protein
group_0078_genome_014_1,efflux pump
group_0078_genome_015_0,efflux pump
group_0078_genome_015_1,efflux pump
group_0078_genome_016_0,efflux pump
group_0078_genome_017_0,efflux pump
group_0078_genome_018_0,membrane protein
group_0078_genome_019_0,efflux pump
group_0078_genome_020_0,efflux pump
group_0078_genome_021_0,efflux pump
group_0078_genome_022_0,hypothetical protein
group_0078_genome_023_0,efflux pump
group_0078_genome_024_0,efflux pump
group_0078_genome_025_0,efflux pump
group_0078_genome_026_0,efflux pump
group_0078_genome_027_0,efflux pump
group_0078_genome_028_0,efflux pump
group_0078_genome_029_0,efflux pump
group_0078_genome_030_0,membrane protein
group_0079_genome_001_0,hypothetical protein
group_0079_genome_002_0,hypothetical protein
group_0079_genome_003_0,hypothetical protein
group_0079_genome_004_0,hypothetical protein
group_0079_genome_005_0,hypothetical protein
group_0079_genome_006_0,hypothetical protein
group_0079_genome_007_0,hypothetical protein
group_0079_genome_008_0,hypothetical protein
group_0079_genome_009_0,hypothetical protein
group_0079_genome_010_0,hypothetical protein
group_0079_genome_011_0,hypothetical protein
group_0079_genome_012_0,hypothetical protein
group_0079_genome_013_0,hypothetical protein
group_0079_genome_014_0,unknown function
group_0079_genome_015_0,hypothetical protein
group_0079_genome_016_0,hypothetical protein
group_0079_genome_017_0,hypothetical protein
group_0079_genome_018_0,membrane protein
group_0079_genome_019_0,hypothetical protein
group_0079_genome_021_0,hypothetical protein
group_0079_genome_022_0,hypothetical protein
group_0079_genome_023_0,hypothetical protein
group_0079_genome_024_0,hypothetical protein
group_0079_genome_025_0,hypothetical protein
group_0079_genome_026_0,hypothetical protein
group_0079_genome_027_0,hypothetical protein
group_0079_genome_028_0,hypothetical protein
group_0079_genome_029_0,hypothetical protein
group_0079_genome_030_0,membrane protein
group_0079_genome_030_1,hypothetical protein
group_0080_genome_001_0,unknown function
group_0080_genome_002_0,hypothetical protein
group_0080_genome_003_0,hypothetical protein
group_0080_genome_004_0,unknown function
group_0080_genome_005_0,hypothetical protein
group_0080_genome_006_0,hypothetical protein
group_0080_genome_007_0,hypothetical protein
group_0080_genome_008_0,hypothetical protein
group_0080_genome_009_0,hypothetical protein
group_0080_genome_010_0,hypothetical protein
group_0080_genome_011_0,hypothetical protein
group_0080_genome_013_0,hypothetical protein
group_0080_genome_014_0,hypothetical protein
group_0080_genome_015_0,hypothetical protein
group_0080_genome_015_1,membrane protein
group_0080_genome_016_0,hypothetical protein
group_0080_genome_017_0,hypothetical protein
group_0080_genome_018_0,hypothetical protein
group_0080_genome_019_0,hypothetical protein
group_0080_genome_020_0,hypothetical protein
group_0080_genome_021_0,hypothetical protein
group_0080_genome_022_0,hypothetical protein
group_0080_genome_023_0,hypothetical protein
group_0080_genome_024_0,hypothetical protein
group_0080_genome_025_0,hypothetical protein
group_0080_genome_026_0,hypothetical protein
group_0080_genome_027_0,hypothetical protein
group_0080_genome_028_0,hypothetical protein
group_0080_genome_029_0,unknown function
group_0080_genome_030_0,hypothetical protein
group_0081_genome_016_0,beta-lactamase
group_0081_genome_023_0,membrane protein
group_0082_genome_001_0,membrane transporter
group_0082_genome_002_0,membrane transporter
group_0082_genome_003_0,membrane transporter
group_0082_genome_004_0,hypothetical protein
group_0082_genome_005_0,membrane transporter
group_0082_genome_006_0,membrane transporter
group_0082_genome_007_0,membrane transporter
group_0082_genome_008_0,membrane transporter
group_0082_genome_009_0,membrane transporter
group_0082_genome_010_0,hypothetical protein
group_0082_genome_011_0,membrane transporter
group_0082_genome_012_0,membrane transporter
group_0082_genome_013_0,membrane transporter
group_0082_genome_014_0,membrane transporter
group_0082_genome_015_0,membrane transporter
group_0082_genome_016_0,membrane protein
group_0082_genome_017_0,membrane transporter
group_0082_genome_018_0,membrane transporter
group_0082_genome_019_0,membrane transporter
group_0082_genome_020_0,membrane transporter
group_0082_genome_021_0,membrane transporter
group_0082_genome_021_1,membrane transporter
group_0082_genome_022_0,membrane transporter
group_0082_genome_023_0,membrane transporter
group_0082_genome_024_0,membrane transporter
group_0082_genome_025_0,unknown function
group_0082_genome_026_0,unknown function
group_0082_genome_027_0,membrane transporter
group_0082_genome_028_0,membrane transporter
group_0082_genome_029_0,membrane transporter
group_0082_genome_030_0,hypothetical protein
group_0083_genome_001_0,membrane transporter
group_0083_genome_002_0,membrane transporter
group_0083_genome_003_0,membrane transporter
group_0083_genome_004_0,membrane transporter
group_0083_genome_005_0,membrane transporter
group_0083_genome_006_0,membrane transporter
group_0083_genome_007_0,membrane transporter
group_0083_genome_008_0,membrane transporter
group_0083_genome_009_0,membrane transporter
group_0083_genome_010_0,membrane transporter
group_0083_genome_011_0,unknown function
group_0083_genome_012_0,unknown function
group_0083_genome_013_0,membrane transporter
group_0083_genome_014_0,hypothetical protein
group_0083_genome_015_0,membrane transporter
group_0083_genome_016_0,membrane transporter
group_0083_genome_017_0,membrane transporter
group_0083_genome_018_0,membrane transporter
group_0083_genome_019_0,membrane protein
group_0083_genome_020_0,membrane transporter
group_0083_genome_021_0,membrane transporter
group_0083_genome_022_0,hypothetical protein
group_0083_genome_023_0,membrane transporter
group_0083_genome_024_0,membrane transporter
group_0083_genome_025_0,membrane transporter
group_0083_genome_026_0,membrane transporter
group_0083_genome_027_0,membrane transporter
group_0083_genome_028_0,membrane transporter
group_0083_genome_029_0,membrane transporter
group_0083_genome_030_0,membrane transporter
group_0084_genome_007_0,DNA polymerase
group_0084_genome_029_0,unknown function
group_0085_genome_001_0,DNA polymerase
group_0085_genome_002_0,DNA polymerase
group_0085_genome_003_0,DNA polymerase
group_0085_genome_004_0,DNA polymerase
group_0085_genome_005_0,unknown function
group_0085_genome_006_0,DNA polymerase
group_0085_genome_006_1,DNA polymerase
group_0085_genome_007_0,DNA polymerase
group_0085_genome_008_0,DNA polymerase
group_0085_genome_009_0,DNA polymerase
group_0085_genome_010_0,DNA polymerase
group_0085_genome_011_0,DNA polymerase
group_0085_genome_012_0,DNA polymerase
group_0085_genome_013_0,membrane protein
group_0085_genome_014_0,DNA polymerase
group_0085_genome_015_0,DNA polymerase
group_0085_genome_016_0,DNA polymerase
group_0085_genome_017_0,DNA polymerase
group_0085_genome_018_0,DNA polymerase
group_0085_genome_019_0,DNA polymerase
group_0085_genome_020_0,DNA polymerase
group_0085_genome_021_0,DNA polymerase
group_0085_genome_022_0,DNA polymerase
group_0085_genome_023_0,DNA polymerase
group_0085_genome_024_0,unknown function
group_0085_genome_025_0,DNA polymerase
group_0085_genome_026_0,DNA polymerase
group_0085_genome_027_0,membrane protein
group_0085_genome_028_0,DNA polymerase
group_0085_genome_029_0,DNA polymerase
group_0085_genome_030_0,DNA polymerase
group_0086_genome_001_0,flagellar protein
group_0086_genome_003_0,flagellar protein
group_0086_genome_004_0,flagellar protein
group_0086_genome_005_0,flagellar protein
group_0086_genome_006_0,hypothetical protein
group_0086_genome_007_0,flagellar protein
group_0086_genome_008_0,flagellar protein
group_0086_genome_009_0,flagellar protein
group_0086_genome_010_0,flagellar protein
group_0086_genome_011_0,flagellar protein
group_0086_genome_012_0,hypothetical protein
group_0086_genome_013_0,flagellar protein
group_0086_genome_014_0,flagellar protein
group_0086_genome_015_0,membrane protein
group_0086_genome_016_0,flagellar protein
group_0086_genome_017_0,flagellar protein
group_0086_genome_018_0,unknown function
group_0086_genome_018_1,flagellar protein
group_0086_genome_019_0,flagellar protein
group_0086_genome_020_0,flagellar protein
group_0086_genome_021_0,flagellar protein
group_0086_genome_022_0,flagellar protein
group_0086_genome_023_0,flagellar protein
group_0086_genome_024_0,flagellar protein
group_0086_genome_025_0,flagellar protein
group_0086_genome_026_0,hypothetical protein
group_0086_genome_027_0,hypothetical protein
group_0086_genome_028_0,flagellar protein
group_0086_genome_029_0,flagellar protein
group_0086_genome_030_0,flagellar protein
group_0087_genome_001_0,hypothetical protein
group_0087_genome_002_0,beta-lactamase
group_0087_genome_005_0,unknown function
group_0087_genome_007_0,beta-lactamase
group_0087_genome_008_0,beta-lactamase
group_0087_genome_009_0,beta-lactamase
group_0087_genome_010_0,beta-lactamase
group_0087_genome_011_0,beta-lactamase
group_0087_genome_012_0,beta-lactamase
group_0087_genome_013_0,unknown function
group_0087_genome_014_0,beta-lactamase
group_0087_genome_016_0,beta-lactamase
group_0087_genome_017_0,beta-lactamase
group_0087_genome_018_0,beta-lactamase
group_0087_genome_022_0,beta-lactamase
group_0087_genome_023_0,beta-lactamase
group_0087_genome_027_0,beta-lactamase
group_0087_genome_028_0,beta-lactamase
group_0087_genome_030_0,beta-lactamase
group_0088_genome_001_0,efflux pump
group_0088_genome_002_0,efflux pump
group_0088_genome_003_0,efflux pump
group_0088_genome_004_0,efflux pump
group_0088_genome_005_0,efflux pump
group_0088_genome_006_0,efflux pump
group_0088_genome_007_0,efflux pump
group_0088_genome_008_0,unknown function
group_0088_genome_009_0,unknown function
group_0088_genome_010_0,efflux pump
group_0088_genome_011_0,efflux pump
group_0088_genome_012_0,efflux pump
group_0088_genome_014_0,efflux pump
group_0088_genome_015_0,efflux pump
group_0088_genome_016_0,efflux pump
group_0088_genome_017_0,membrane protein
group_0088_genome_018_0,efflux pump
group_0088_genome_019_0,efflux pump
group_0088_genome_020_0,efflux pump
group_0088_genome_020_1,efflux pump
group_0088_genome_021_0,efflux pump
group_0088_genome_022_0,efflux pump
group_0088_genome_023_0,efflux pump
group_0088_genome_023_1,hypothetical protein
group_0088_genome_025_0,unknown function
group_0088_genome_026_0,efflux pump
group_0088_genome_027_0,efflux pump
group_0088_genome_028_0,efflux pump
group_0088_genome_029_0,efflux pump
group_0088_genome_030_0,efflux pump
group_0089_genome_001_0,hypothetical protein
group_0089_genome_002_0,DNA polymerase
group_0089_genome_003_0,DNA polymerase
group_0089_genome_004_0,DNA polymerase
group_0089_genome_005_0,DNA polymerase
group_0089_genome_006_0,DNA polymerase
group_0089_genome_007_0,DNA polymerase
group_0089_genome_008_0,DNA polymerase
group_0089_genome_009_0,unknown function
group_0089_genome_010_0,DNA polymerase
group_0089_genome_011_0,DNA polymerase
group_0089_genome_012_0,DNA polymerase
group_0089_genome_013_0,unknown function
group_0089_genome_014_0,DNA polymerase
group_0089_genome_015_0,hypothetical protein
group_0089_genome_015_1,DNA polymerase
group_0089_genome_016_0,DNA polymerase
group_0089_genome_017_0,DNA polymerase
group_0089_genome_018_0,DNA polymerase
group_0089_genome_019_0,DNA polymerase
group_0089_genome_020_0,DNA polymerase
group_0089_genome_021_0,DNA polymerase
group_0089_genome_022_0,DNA polymerase
group_0089_genome_023_0,DNA polymerase
group_0089_genome_024_0,DNA polymerase
group_0089_genome_025_0,DNA polymerase
group_0089_genome_026_0,DNA polymerase
group_0089_genome_027_0,DNA polymerase
group_0089_genome_028_0,DNA polymerase
group_0089_genome_029_0,DNA polymerase
group_0089_genome_030_0,DNA polymerase
group_0090_genome_002_0,flagellar protein
group_0090_genome_003_0,flagellar protein
group_0090_genome_005_0,membrane protein
group_0090_genome_006_0,flagellar protein
group_0090_genome_007_0,flagellar protein
group_0090_genome_010_0,flagellar protein
group_0090_genome_014_0,flagellar protein
group_0090_genome_015_0,membrane protein
group_0090_genome_016_0,flagellar protein
group_0090_genome_017_0,flagellar protein
group_0090_genome_018_0,flagellar protein
group_0090_genome_019_0,flagellar protein
group_0090_genome_020_0,flagellar protein
group_0090_genome_022_0,flagellar protein
group_0090_genome_023_0,flagellar protein
group_0090_genome_024_0,hypothetical protein
group_0090_genome_026_0,flagellar protein
group_0090_genome_030_0,membrane protein
group_0091_genome_001_0,beta-lactamase
group_0091_genome_002_0,membrane protein
group_0091_genome_003_0,beta-lactamase
group_0091_genome_004_0,beta-lactamase
group_0091_genome_005_0,beta-lactamase
group_0091_genome_006_0,beta-lactamase
group_0091_genome_007_0,beta-lactamase
group_0091_genome_008_0,beta-lactamase
group_0091_genome_009_0,beta-lactamase
group_0091_genome_010_0,beta-lactamase
group_0091_genome_011_0,beta-lactamase
group_0091_genome_012_0,hypothetical protein
group_0091_genome_013_0,beta-lactamase
group_0091_genome_014_0,beta-lactamase
group_0091_genome_015_0,beta-lactamase
group_0091_genome_016_0,beta-lactamase
group_0091_genome_016_1,beta-lactamase
group_0091_genome_017_0,beta-lactamase
group_0091_genome_018_0,beta-lactamase
group_0091_genome_020_0,beta-lactamase
group_0091_genome_021_0,beta-lactamase
group_0091_genome_024_0,beta-lactamase
group_0091_genome_025_0,beta-lactamase
group_0091_genome_026_0,hypothetical protein
group_0091_genome_027_0,unknown function
group_0091_genome_028_0,beta-lactamase
group_0091_genome_029_0,beta-lactamase
group_0091_genome_030_0,beta-lactamase
group_0093_genome_001_0,DNA polymerase
group_0093_genome_002_0,DNA polymerase
group_0093_genome_003_0,DNA polymerase
group_0093_genome_004_0,DNA polymerase
group_0093_genome_005_0,DNA polymerase
group_0093_genome_005_1,DNA polymerase
group_0093_genome_006_0,DNA polymerase
group_0093_genome_007_0,DNA polymerase
group_0093_genome_008_0,DNA polymerase
group_0093_genome_009_0,DNA polymerase
group_0093_genome_010_0,DNA polymerase
group_0093_genome_011_0,DNA polymerase
group_0093_genome_012_0,DNA polymerase
group_0093_genome_013_0,DNA polymerase
group_0093_genome_014_0,DNA polymerase
group_0093_genome_015_0,DNA polymerase
group_0093_genome_016_0,DNA polymerase
group_0093_genome_017_0,DNA polymerase
group_0093_genome_018_0,DNA polymerase
group_0093_genome_019_0,DNA polymerase
group_0093_genome_020_0,unknown function
group_0093_genome_021_0,DNA polymerase
group_0093_genome_022_0,DNA polymerase
group_0093_genome_023_0,DNA polymerase
group_0093_genome_024_0,DNA polymerase
group_0093_genome_025_0,DNA polymerase
group_0093_genome_026_0,DNA polymerase
group_0093_genome_027_0,DNA polymerase
group_0093_genome_029_0,DNA polymerase
group_0093_genome_030_0,DNA polymerase
group_0094_genome_001_0,flagellar protein
group_0094_genome_002_0,flagellar protein
group_0094_genome_003_0,membrane protein
group_0094_genome_004_0,flagellar protein
group_0094_genome_005_0,flagellar protein
group_0094_genome_006_0,flagellar protein
group_0094_genome_007_0,flagellar protein
group_0094_genome_008_0,flagellar protein
group_0094_genome_009_0,flagellar protein
group_0094_genome_010_0,flagellar protein
group_0094_genome_011_0,flagellar protein
group_0094_genome_012_0,flagellar protein
group_0094_genome_013_0,flagellar protein
group_0094_genome_014_0,flagellar protein
group_0094_genome_015_0,flagellar protein
group_0094_genome_016_0,flagellar protein
group_0094_genome_017_0,flagellar protein
group_0094_genome_018_0,flagellar protein
group_0094_genome_019_0,flagellar protein
group_0094_genome_020_0,membrane protein
group_0094_genome_021_0,flagellar protein
group_0094_genome_022_0,flagellar protein
group_0094_genome_023_0,flagellar protein
group_0094_genome_024_0,flagellar protein
group_0094_genome_025_0,flagellar protein
group_0094_genome_026_0,flagellar protein
group_0094_genome_027_0,flagellar protein
group_0094_genome_028_0,flagellar protein
group_0094_genome_029_0,flagellar protein
group_0094_genome_030_0,flagellar protein
group_0095_genome_001_0,beta-lactamase
group_0095_genome_003_0,beta-lactamase
group_0095_genome_005_0,membrane protein
group_0095_genome_006_0,beta-lactamase
group_0095_genome_008_0,beta-lactamase
group_0095_genome_009_0,beta-lactamase
group_0095_genome_010_0,beta-lactamase
group_0095_genome_011_0,membrane protein
group_0095_genome_012_0,beta-lactamase
group_0095_genome_013_0,beta-lactamase
group_0095_genome_014_0,beta-lactamase
group_0095_genome_017_0,beta-lactamase
group_0095_genome_020_0,beta-lactamase
group_0095_genome_022_0,beta-lactamase
group_0095_genome_026_0,beta-lactamase
group_0095_genome_027_0,beta-lactamase
group_0095_genome_028_0,beta-lactamase
group_0095_genome_029_0,beta-lactamase
group_0095_genome_030_0,beta-lactamase
group_0096_genome_001_0,efflux pump
group_0096_genome_003_0,efflux pump
group_0096_genome_004_0,efflux pump
group_0096_genome_006_0,efflux pump
group_0096_genome_007_0,efflux pump
group_0096_genome_008_0,membrane protein
group_0096_genome_009_0,hypothetical protein
group_0096_genome_010_0,efflux pump
group_0096_genome_011_0,efflux pump
group_0096_genome_011_1,membrane protein
group_0096_genome_012_0,efflux pump
group_0096_genome_013_0,hypothetical protein
group_0096_genome_015_0,efflux pump
group_0096_genome_016_0,efflux pump
group_0096_genome_017_0,efflux pump
group_0096_genome_018_0,efflux pump
group_0096_genome_019_0,efflux pump
group_0096_genome_020_0,efflux pump
group_0096_genome_020_1,efflux pump
group_0096_genome_021_0,efflux pump
