Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,genome_001,genome_002,genome_003,genome_004,genome_005,genome_006,genome_007,genome_008,genome_009,genome_010,genome_011,genome_012,genome_013,genome_014,genome_015,genome_016,genome_017,genome_018,genome_019,genome_020,genome_021,genome_022,genome_023,genome_024,genome_025,genome_026,genome_027,genome_028,genome_029,genome_030
group_0045,group_0045,,,,,,,,,,,,,,,group_0045_genome_003_0,group_0045_genome_004_0,group_0045_genome_005_0,group_0045_genome_006_0,group_0045_genome_007_0,group_0045_genome_008_0,group_0045_genome_009_0,,,,group_0045_genome_013_0,group_0045_genome_014_0,group_0045_genome_015_0,group_0045_genome_016_0;group_0045_genome_016_1,group_0045_genome_017_0,,group_0045_genome_019_0,,group_0045_genome_021_0,group_0045_genome_022_0,group_0045_genome_023_0,group_0045_genome_024_0,group_0045_genome_025_0,group_0045_genome_026_0,,group_0045_genome_028_0,group_0045_genome_029_0,
group_0046,group_0046,membrane transporter,,,,,,,,,,,,,,group_0046_genome_003_0,group_0046_genome_004_0,,group_0046_genome_006_0,group_0046_genome_007_0,,group_0046_genome_009_0,group_0046_genome_010_0,group_0046_genome_011_0,,,,group_0046_genome_015_0,,,,group_0046_genome_019_0,group_0046_genome_020_0,,group_0046_genome_022_0,,group_0046_genome_024_0,,group_0046_genome_026_0,group_0046_genome_027_0,group_0046_genome_028_0,,group_0046_genome_030_0
group_0047,group_0047,membrane transporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_0047_genome_017_0,,,,,,group_0047_genome_023_0,,,,,,,
group_0048,group_0048,,,,,,,,,,,,,,,group_0048_genome_003_0,,group_0048_genome_005_0,,,,,,,,,,,,,,,,group_0048_genome_021_0,,,,,,,group_0048_genome_028_0,,
group_0049,group_0049,beta-lactamase,,,,,,,,,,,,,,group_0049_genome_003_0,group_0049_genome_004_0,,group_0049_genome_006_0,,group_0049_genome_008_0,,group_0049_genome_010_0,group_0049_genome_011_0,group_0049_genome_012_0,group_0049_genome_013_0,,group_0049_genome_015_0,,,group_0049_genome_018_0,,group_0049_genome_020_0,,group_0049_genome_022_0,group_0049_genome_023_0,group_0049_genome_024_0,,,,,,group_0049_genome_030_0
group_0050,group_0050,flagellar protein,,,,,,,,,,,,group_0050_genome_001_0,,,group_0050_genome_004_0,group_0050_genome_005_0,group_0050_genome_006_0,,,group_0050_genome_009_0,group_0050_genome_010_0,,,,,group_0050_genome_015_0,group_0050_genome_016_0,group_0050_genome_017_0,group_0050_genome_018_0,group_0050_genome_019_0,,group_0050_genome_021_0,,group_0050_genome_023_0,group_0050_genome_024_0,,group_0050_genome_026_0,,,,group_0050_genome_030_0
group_0051,group_0051,flagellar protein,,,,,,,,,,,,group_0051_genome_001_0,group_0051_genome_002_0,group_0051_genome_003_0,group_0051_genome_004_0,group_0051_genome_005_0,group_0051_genome_006_0,group_0051_genome_007_0,group_0051_genome_008_0,group_0051_genome_009_0,group_0051_genome_010_0,group_0051_genome_011_0;group_0051_genome_011_1,group_0051_genome_012_0,group_0051_genome_013_0,group_0051_genome_014_0,group_0051_genome_015_0,group_0051_genome_016_0,group_0051_genome_017_0,group_0051_genome_018_0,group_0051_genome_019_0,group_0051_genome_020_0,group_0051_genome_021_0,group_0051_genome_022_0,group_0051_genome_023_0,group_0051_genome_024_0,group_0051_genome_025_0,group_0051_genome_026_0,group_0051_genome_027_0,group_0051_genome_028_0,group_0051_genome_029_0,group_0051_genome_030_0
group_0052,group_0052,beta-lactamase,,,,,,,,,,,,group_0052_genome_001_0,,,,,group_0052_genome_006_0,,,,,,,,,,,,group_0052_genome_018_0,,,,,,group_0052_genome_024_0,,,,,,
group_0053,group_0053,beta-lactamase,,,,,,,,,,,,,,group_0053_genome_003_0,,,,,,,,,,,group_0053_genome_014_0,,,,,,,,,,,,,,,,
group_0054,group_0054,efflux pump,,,,,,,,,,,,,group_0054_genome_002_0,group_0054_genome_003_0,group_0054_genome_004_0,,,group_0054_genome_007_0,group_0054_genome_008_0,group_0054_genome_009_0,group_0054_genome_010_0,group_0054_genome_011_0,group_0054_genome_012_0,group_0054_genome_013_0,group_0054_genome_014_0,,group_0054_genome_016_0;group_0054_genome_016_1,,,group_0054_genome_019_0,group_0054_genome_020_0,,group_0054_genome_022_0,,group_0054_genome_024_0,,group_0054_genome_026_0,,,group_0054_genome_029_0,group_0054_genome_030_0
group_0055,group_0055,virulence factor,,,,,,,,,,,,,group_0055_genome_002_0,,,,,,group_0055_genome_008_0,,,,,group_0055_genome_013_0,,,,,,,,,,,,,,,,,
group_0056,group_0056,flagellar protein,,,,,,,,,,,,group_0056_genome_001_0,group_0056_genome_002_0,group_0056_genome_003_0,group_0056_genome_004_0,group_0056_genome_005_0,group_0056_genome_006_0,group_0056_genome_007_0,group_0056_genome_008_0,,group_0056_genome_010_0,,group_0056_genome_012_0,group_0056_genome_013_0,group_0056_genome_014_0,group_0056_genome_015_0,group_0056_genome_016_0,group_0056_genome_017_0,group_0056_genome_018_0,group_0056_genome_019_0,group_0056_genome_020_0,group_0056_genome_021_0;group_0056_genome_021_1,group_0056_genome_022_0,group_0056_genome_023_0,group_0056_genome_024_0,group_0056_genome_025_0,group_0056_genome_026_0,group_0056_genome_027_0,group_0056_genome_028_0,group_0056_genome_029_0,group_0056_genome_030_0
group_0057,group_0057,efflux pump,,,,,,,,,,,,group_0057_genome_001_0,group_0057_genome_002_0,group_0057_genome_003_0,group_0057_genome_004_0,group_0057_genome_005_0,group_0057_genome_006_0,group_0057_genome_007_0,group_0057_genome_008_0,group_0057_genome_009_0,group_0057_genome_010_0,group_0057_genome_011_0,group_0057_genome_012_0,group_0057_genome_013_0,group_0057_genome_014_0,group_0057_genome_015_0,group_0057_genome_016_0,group_0057_genome_017_0,group_0057_genome_018_0,group_0057_genome_019_0,group_0057_genome_020_0,group_0057_genome_021_0;group_0057_genome_021_1,group_0057_genome_022_0,group_0057_genome_023_0,group_0057_genome_024_0,group_0057_genome_025_0,group_0057_genome_026_0,group_0057_genome_027_0,group_0057_genome_028_0,group_0057_genome_029_0,group_0057_genome_030_0
group_0058,group_0058,,,,,,,,,,,,,group_0058_genome_001_0,group_0058_genome_002_0,group_0058_genome_003_0,group_0058_genome_004_0,group_0058_genome_005_0,group_0058_genome_006_0,group_0058_genome_007_0,group_0058_genome_008_0,group_0058_genome_009_0,group_0058_genome_010_0,group_0058_genome_011_0,group_0058_genome_012_0,group_0058_genome_013_0,group_0058_genome_014_0,group_0058_genome_015_0,group_0058_genome_016_0,group_0058_genome_017_0,group_0058_genome_018_0,group_0058_genome_019_0,group_0058_genome_020_0,group_0058_genome_021_0,group_0058_genome_022_0,group_0058_genome_023_0,group_0058_genome_024_0,group_0058_genome_025_0,group_0058_genome_026_0,group_0058_genome_027_0,group_0058_genome_028_0,group_0058_genome_029_0,group_0058_genome_030_0
group_0059,group_0059,efflux pump,,,,,,,,,,,,,group_0059_genome_002_0,group_0059_genome_003_0,group_0059_genome_004_0,,,,group_0059_genome_008_0,group_0059_genome_009_0,,group_0059_genome_011_0,group_0059_genome_012_0,,group_0059_genome_014_0,group_0059_genome_015_0,group_0059_genome_016_0,group_0059_genome_017_0,group_0059_genome_018_0,group_0059_genome_019_0,group_0059_genome_020_0,group_0059_genome_021_0,,group_0059_genome_023_0,group_0059_genome_024_0,group_0059_genome_025_0,group_0059_genome_026_0,group_0059_genome_027_0,group_0059_genome_028_0,group_0059_genome_029_0,
group_0060,group_0060,efflux pump,,,,,,,,,,,,,,,,,,,,,group_0060_genome_010_0,,,,group_0060_genome_014_0,,,,,,group_0060_genome_020_0,,,,,,,,,,
group_0061,group_0061,DNA polymerase,,,,,,,,,,,,,group_0061_genome_002_0,,group_0061_genome_004_0,group_0061_genome_005_0,group_0061_genome_006_0,group_0061_genome_007_0,group_0061_genome_008_0,group_0061_genome_009_0,group_0061_genome_010_0,group_0061_genome_011_0,group_0061_genome_012_0,group_0061_genome_013_0,group_0061_genome_014_0,group_0061_genome_015_0,,group_0061_genome_017_0,group_0061_genome_018_0,group_0061_genome_019_0,group_0061_genome_020_0,group_0061_genome_021_0,group_0061_genome_022_0;group_0061_genome_022_1,group_0061_genome_023_0,,group_0061_genome_025_0,group_0061_genome_026_0,,group_0061_genome_028_0,,
group_0062,group_0062,,,,,,,,,,,,,,,group_0062_genome_003_0,,,,,,,,,,,,,,,,,,,,,,group_0062_genome_025_0,,,,,
group_0063,group_0063,DNA polymerase,,,,,,,,,,,,group_0063_genome_001_0,group_0063_genome_002_0,group_0063_genome_003_0,group_0063_genome_004_0,group_0063_genome_005_0,group_0063_genome_006_0,group_0063_genome_007_0,group_0063_genome_008_0,group_0063_genome_009_0,group_0063_genome_010_0,group_0063_genome_011_0,group_0063_genome_012_0,group_0063_genome_013_0,group_0063_genome_014_0,group_0063_genome_015_0,group_0063_genome_016_0,group_0063_genome_017_0,group_0063_genome_018_0,group_0063_genome_019_0,group_0063_genome_020_0,group_0063_genome_021_0,group_0063_genome_022_0,group_0063_genome_023_0,group_0063_genome_024_0,group_0063_genome_025_0,group_0063_genome_026_0,group_0063_genome_027_0,group_0063_genome_028_0,group_0063_genome_029_0,
group_0064,group_0064,membrane transporter,,,,,,,,,,,,group_0064_genome_001_0,group_0064_genome_002_0,group_0064_genome_003_0,group_0064_genome_004_0,group_0064_genome_005_0,group_0064_genome_006_0,group_0064_genome_007_0,group_0064_genome_008_0,group_0064_genome_009_0,group_0064_genome_010_0,group_0064_genome_011_0,group_0064_genome_012_0,group_0064_genome_013_0,group_0064_genome_014_0,group_0064_genome_015_0,group_0064_genome_016_0,group_0064_genome_017_0,group_0064_genome_018_0,group_0064_genome_019_0,group_0064_genome_020_0,group_0064_genome_021_0,group_0064_genome_022_0,group_0064_genome_023_0,,group_0064_genome_025_0,group_0064_genome_026_0,group_0064_genome_027_0,group_0064_genome_028_0,group_0064_genome_029_0,group_0064_genome_030_0
group_0065,group_0065,hypothetical protein,,,,,,,,,,,,group_0065_genome_001_0,group_0065_genome_002_0,group_0065_genome_003_0,group_0065_genome_004_0,group_0065_genome_005_0,group_0065_genome_006_0,group_0065_genome_007_0,group_0065_genome_008_0,group_0065_genome_009_0,group_0065_genome_010_0,group_0065_genome_011_0,group_0065_genome_012_0,group_0065_genome_013_0,group_0065_genome_014_0,group_0065_genome_015_0,group_0065_genome_016_0,group_0065_genome_017_0,,group_0065_genome_019_0,group_0065_genome_020_0,group_0065_genome_021_0,group_0065_genome_022_0,group_0065_genome_023_0,group_0065_genome_024_0,group_0065_genome_025_0,group_0065_genome_026_0,group_0065_genome_027_0,group_0065_genome_028_0,,group_0065_genome_030_0
group_0066,group_0066,hypothetical protein,,,,,,,,,,,,,,,,,,,group_0066_genome_008_0,,,,,,,,,,,,,,,,,,,,,,
group_0067,group_0067,,,,,,,,,,,,,,,,,group_0067_genome_005_0,,,,,,,group_0067_genome_012_0,,,,,,,,,,,,,,,,,,
group_0068,group_0068,beta-lactamase,,,,,,,,,,,,group_0068_genome_001_0,group_0068_genome_002_0,group_0068_genome_003_0,group_0068_genome_004_0,group_0068_genome_005_0,group_0068_genome_006_0,group_0068_genome_007_0,group_0068_genome_008_0,group_0068_genome_009_0,group_0068_genome_010_0,group_0068_genome_011_0;group_0068_genome_011_1,group_0068_genome_012_0,group_0068_genome_013_0,group_0068_genome_014_0,group_0068_genome_015_0,group_0068_genome_016_0,group_0068_genome_017_0,group_0068_genome_018_0,group_0068_genome_019_0,group_0068_genome_020_0,group_0068_genome_021_0,group_0068_genome_022_0,group_0068_genome_023_0;group_0068_genome_023_1,group_0068_genome_024_0,group_0068_genome_025_0,group_0068_genome_026_0,group_0068_genome_027_0,group_0068_genome_028_0,group_0068_genome_029_0,group_0068_genome_030_0
group_0069,group_0069,virulence factor,,,,,,,,,,,,group_0069_genome_001_0,group_0069_genome_002_0,group_0069_genome_003_0,group_0069_genome_004_0,group_0069_genome_005_0,group_0069_genome_006_0,group_0069_genome_007_0;group_0069_genome_007_1,group_0069_genome_008_0,group_0069_genome_009_0,group_0069_genome_010_0,group_0069_genome_011_0,group_0069_genome_012_0,group_0069_genome_013_0,group_0069_genome_014_0,group_0069_genome_015_0,group_0069_genome_016_0,group_0069_genome_017_0,group_0069_genome_018_0,group_0069_genome_019_0,group_0069_genome_020_0,group_0069_genome_021_0,group_0069_genome_022_0,group_0069_genome_023_0,group_0069_genome_024_0,group_0069_genome_025_0,group_0069_genome_026_0,group_0069_genome_027_0,group_0069_genome_028_0,group_0069_genome_029_0,group_0069_genome_030_0
group_0070,group_0070,virulence factor,,,,,,,,,,,,,group_0070_genome_002_0,group_0070_genome_003_0;group_0070_genome_003_1,group_0070_genome_004_0,group_0070_genome_005_0,group_0070_genome_006_0,,,group_0070_genome_009_0,,group_0070_genome_011_0,group_0070_genome_012_0,,,group_0070_genome_015_0,,group_0070_genome_017_0,,,,group_0070_genome_021_0,group_0070_genome_022_0,,,group_0070_genome_025_0,group_0070_genome_026_0,,group_0070_genome_028_0,,
group_0071,group_0071,membrane transporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_0071_genome_022_0,,,,,,,,
group_0072,group_0072,hypothetical protein,,,,,,,,,,,,,group_0072_genome_002_0,group_0072_genome_003_0,,,group_0072_genome_006_0,,,group_0072_genome_009_0,,,group_0072_genome_012_0,group_0072_genome_013_0,,group_0072_genome_015_0,,group_0072_genome_017_0,group_0072_genome_018_0,,group_0072_genome_020_0,,group_0072_genome_022_0,group_0072_genome_023_0,,group_0072_genome_025_0,group_0072_genome_026_0,,group_0072_genome_028_0,group_0072_genome_029_0,group_0072_genome_030_0
group_0073,group_0073,efflux pump,,,,,,,,,,,,group_0073_genome_001_0,group_0073_genome_002_0,group_0073_genome_003_0,group_0073_genome_004_0;group_0073_genome_004_1,group_0073_genome_005_0,group_0073_genome_006_0,group_0073_genome_007_0,group_0073_genome_008_0,group_0073_genome_009_0,group_0073_genome_010_0,group_0073_genome_011_0,group_0073_genome_012_0,group_0073_genome_013_0,group_0073_genome_014_0,group_0073_genome_015_0,group_0073_genome_016_0,group_0073_genome_017_0,group_0073_genome_018_0,group_0073_genome_019_0,group_0073_genome_020_0,group_0073_genome_021_0,group_0073_genome_022_0,group_0073_genome_023_0,group_0073_genome_024_0,group_0073_genome_025_0,group_0073_genome_026_0;group_0073_genome_026_1,group_0073_genome_027_0,group_0073_genome_028_0,group_0073_genome_029_0,group_0073_genome_030_0
group_0074,group_0074,membrane transporter,,,,,,,,,,,,group_0074_genome_001_0,group_0074_genome_002_0,group_0074_genome_003_0,group_0074_genome_004_0,group_0074_genome_005_0,group_0074_genome_006_0,group_0074_genome_007_0,group_0074_genome_008_0,group_0074_genome_009_0,group_0074_genome_010_0,group_0074_genome_011_0,group_0074_genome_012_0,group_0074_genome_013_0,group_0074_genome_014_0,group_0074_genome_015_0,group_0074_genome_016_0,group_0074_genome_017_0,group_0074_genome_018_0,group_0074_genome_019_0,group_0074_genome_020_0,group_0074_genome_021_0,group_0074_genome_022_0,group_0074_genome_023_0,group_0074_genome_024_0,group_0074_genome_025_0,group_0074_genome_026_0,group_0074_genome_027_0,group_0074_genome_028_0,group_0074_genome_029_0,group_0074_genome_030_0
group_0075,group_0075,virulence factor,,,,,,,,,,,,,group_0075_genome_002_0,,,,,,,,,,,,,group_0075_genome_015_0,,,,,,,,,,,,,group_0075_genome_028_0,,
group_0076,group_0076,flagellar protein,,,,,,,,,,,,group_0076_genome_001_0,group_0076_genome_002_0,group_0076_genome_003_0,,group_0076_genome_005_0,group_0076_genome_006_0,group_0076_genome_007_0,group_0076_genome_008_0,group_0076_genome_009_0,group_0076_genome_010_0,group_0076_genome_011_0,group_0076_genome_012_0,group_0076_genome_013_0,group_0076_genome_014_0,group_0076_genome_015_0,group_0076_genome_016_0,group_0076_genome_017_0,group_0076_genome_018_0,group_0076_genome_019_0,group_0076_genome_020_0,group_0076_genome_021_0,group_0076_genome_022_0,group_0076_genome_023_0,group_0076_genome_024_0;group_0076_genome_024_1,group_0076_genome_025_0,group_0076_genome_026_0,group_0076_genome_027_0,group_0076_genome_028_0,group_0076_genome_029_0,group_0076_genome_030_0
group_0077,group_0077,beta-lactamase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_0077_genome_019_0,,group_0077_genome_021_0,,,,,,,,,
group_0078,group_0078,efflux pump,,,,,,,,,,,,group_0078_genome_001_0,group_0078_genome_002_0;group_0078_genome_002_1,group_0078_genome_003_0,group_0078_genome_004_0,group_0078_genome_005_0,group_0078_genome_006_0,group_0078_genome_007_0,group_0078_genome_008_0,group_0078_genome_009_0,group_0078_genome_010_0,group_0078_genome_011_0,group_0078_genome_012_0,group_0078_genome_013_0,group_0078_genome_014_0;group_0078_genome_014_1,group_0078_genome_015_0;group_0078_genome_015_1,group_0078_genome_016_0,group_0078_genome_017_0,group_0078_genome_018_0,group_0078_genome_019_0,group_0078_genome_020_0,group_0078_genome_021_0,group_0078_genome_022_0,group_0078_genome_023_0,group_0078_genome_024_0,group_0078_genome_025_0,group_0078_genome_026_0,group_0078_genome_027_0,group_0078_genome_028_0,group_0078_genome_029_0,group_0078_genome_030_0
group_0079,group_0079,hypothetical protein,,,,,,,,,,,,group_0079_genome_001_0,group_0079_genome_002_0,group_0079_genome_003_0,group_0079_genome_004_0,group_0079_genome_005_0,group_0079_genome_006_0,group_0079_genome_007_0,group_0079_genome_008_0,group_0079_genome_009_0,group_0079_genome_010_0,group_0079_genome_011_0,group_0079_genome_012_0,group_0079_genome_013_0,group_0079_genome_014_0,group_0079_genome_015_0,group_0079_genome_016_0,group_0079_genome_017_0,group_0079_genome_018_0,group_0079_genome_019_0,,group_0079_genome_021_0,group_0079_genome_022_0,group_0079_genome_023_0,group_0079_genome_024_0,group_0079_genome_025_0,group_0079_genome_026_0,group_0079_genome_027_0,group_0079_genome_028_0,group_0079_genome_029_0,group_0079_genome_030_0;group_0079_genome_030_1
group_0080,group_0080,hypothetical protein,,,,,,,,,,,,group_0080_genome_001_0,group_0080_genome_002_0,group_0080_genome_003_0,group_0080_genome_004_0,group_0080_genome_005_0,group_0080_genome_006_0,group_0080_genome_007_0,group_0080_genome_008_0,group_0080_genome_009_0,group_0080_genome_010_0,group_0080_genome_011_0,,group_0080_genome_013_0,group_0080_genome_014_0,group_0080_genome_015_0;group_0080_genome_015_1,group_0080_genome_016_0,group_0080_genome_017_0,group_0080_genome_018_0,group_0080_genome_019_0,group_0080_genome_020_0,group_0080_genome_021_0,group_0080_genome_022_0,group_0080_genome_023_0,group_0080_genome_024_0,group_0080_genome_025_0,group_0080_genome_026_0,group_0080_genome_027_0,group_0080_genome_028_0,group_0080_genome_029_0,group_0080_genome_030_0
group_0081,group_0081,beta-lactamase,,,,,,,,,,,,,,,,,,,,,,,,,,,group_0081_genome_016_0,,,,,,,group_0081_genome_023_0,,,,,,,
group_0082,group_0082,membrane transporter,,,,,,,,,,,,group_0082_genome_001_0,group_0082_genome_002_0,group_0082_genome_003_0,group_0082_genome_004_0,group_0082_genome_005_0,group_0082_genome_006_0,group_0082_genome_007_0,group_0082_genome_008_0,group_0082_genome_009_0,group_0082_genome_010_0,group_0082_genome_011_0,group_0082_genome_012_0,group_0082_genome_013_0,group_0082_genome_014_0,group_0082_genome_015_0,group_0082_genome_016_0,group_0082_genome_017_0,group_0082_genome_018_0,group_0082_genome_019_0,group_0082_genome_020_0,group_0082_genome_021_0;group_0082_genome_021_1,group_0082_genome_022_0,group_0082_genome_023_0,group_0082_genome_024_0,group_0082_genome_025_0,group_0082_genome_026_0,group_0082_genome_027_0,group_0082_genome_028_0,group_0082_genome_029_0,group_0082_genome_030_0
group_0083,group_0083,membrane transporter,,,,,,,,,,,,group_0083_genome_001_0,group_0083_genome_002_0,group_0083_genome_003_0,group_0083_genome_004_0,group_0083_genome_005_0,group_0083_genome_006_0,group_0083_genome_007_0,group_0083_genome_008_0,group_0083_genome_009_0,group_0083_genome_010_0,group_0083_genome_011_0,group_0083_genome_012_0,group_0083_genome_013_0,group_0083_genome_014_0,group_0083_genome_015_0,group_0083_genome_016_0,group_0083_genome_017_0,group_0083_genome_018_0,group_0083_genome_019_0,group_0083_genome_020_0,group_0083_genome_021_0,group_0083_genome_022_0,group_0083_genome_023_0,group_0083_genome_024_0,group_0083_genome_025_0,group_0083_genome_026_0,group_0083_genome_027_0,group_0083_genome_028_0,group_0083_genome_029_0,group_0083_genome_030_0
group_0084,group_0084,DNA polymerase,,,,,,,,,,,,,,,,,,group_0084_genome_007_0,,,,,,,,,,,,,,,,,,,,,,group_0084_genome_029_0,
group_0085,group_0085,DNA polymerase,,,,,,,,,,,,group_0085_genome_001_0,group_0085_genome_002_0,group_0085_genome_003_0,group_0085_genome_004_0,group_0085_genome_005_0,group_0085_genome_006_0;group_0085_genome_006_1,group_0085_genome_007_0,group_0085_genome_008_0,group_0085_genome_009_0,group_0085_genome_010_0,group_0085_genome_011_0,group_0085_genome_012_0,group_0085_genome_013_0,group_0085_genome_014_0,group_0085_genome_015_0,group_0085_genome_016_0,group_0085_genome_017_0,group_0085_genome_018_0,group_0085_genome_019_0,group_0085_genome_020_0,group_0085_genome_021_0,group_0085_genome_022_0,group_0085_genome_023_0,group_0085_genome_024_0,group_0085_genome_025_0,group_0085_genome_026_0,group_0085_genome_027_0,group_0085_genome_028_0,group_0085_genome_029_0,group_0085_genome_030_0
group_0086,group_0086,flagellar protein,,,,,,,,,,,,group_0086_genome_001_0,,group_0086_genome_003_0,group_0086_genome_004_0,group_0086_genome_005_0,group_0086_genome_006_0,group_0086_genome_007_0,group_0086_genome_008_0,group_0086_genome_009_0,group_0086_genome_010_0,group_0086_genome_011_0,group_0086_genome_012_0,group_0086_genome_013_0,group_0086_genome_014_0,group_0086_genome_015_0,group_0086_genome_016_0,group_0086_genome_017_0,group_0086_genome_018_0;group_0086_genome_018_1,group_0086_genome_019_0,group_0086_genome_020_0,group_0086_genome_021_0,group_0086_genome_022_0,group_0086_genome_023_0,group_0086_genome_024_0,group_0086_genome_025_0,group_0086_genome_026_0,group_0086_genome_027_0,group_0086_genome_028_0,group_0086_genome_029_0,group_0086_genome_030_0
group_0087,group_0087,beta-lactamase,,,,,,,,,,,,group_0087_genome_001_0,group_0087_genome_002_0,,,group_0087_genome_005_0,,group_0087_genome_007_0,group_0087_genome_008_0,group_0087_genome_009_0,group_0087_genome_010_0,group_0087_genome_011_0,group_0087_genome_012_0,group_0087_genome_013_0,group_0087_genome_014_0,,group_0087_genome_016_0,group_0087_genome_017_0,group_0087_genome_018_0,,,,group_0087_genome_022_0,group_0087_genome_023_0,,,,group_0087_genome_027_0,group_0087_genome_028_0,,group_0087_genome_030_0
group_0088,group_0088,efflux pump,,,,,,,,,,,,group_0088_genome_001_0,group_0088_genome_002_0,group_0088_genome_003_0,group_0088_genome_004_0,group_0088_genome_005_0,group_0088_genome_006_0,group_0088_genome_007_0,group_0088_genome_008_0,group_0088_genome_009_0,group_0088_genome_010_0,group_0088_genome_011_0,group_0088_genome_012_0,,group_0088_genome_014_0,group_0088_genome_015_0,group_0088_genome_016_0,group_0088_genome_017_0,group_0088_genome_018_0,group_0088_genome_019_0,group_0088_genome_020_0;group_0088_genome_020_1,group_0088_genome_021_0,group_0088_genome_022_0,group_0088_genome_023_0;group_0088_genome_023_1,,group_0088_genome_025_0,group_0088_genome_026_0,group_0088_genome_027_0,group_0088_genome_028_0,group_0088_genome_029_0,group_0088_genome_030_0
group_0089,group_0089,DNA polymerase,,,,,,,,,,,,group_0089_genome_001_0,group_0089_genome_002_0,group_0089_genome_003_0,group_0089_genome_004_0,group_0089_genome_005_0,group_0089_genome_006_0,group_0089_genome_007_0,group_0089_genome_008_0,group_0089_genome_009_0,group_0089_genome_010_0,group_0089_genome_011_0,group_0089_genome_012_0,group_0089_genome_013_0,group_0089_genome_014_0,group_0089_genome_015_0;group_0089_genome_015_1,group_0089_genome_016_0,group_0089_genome_017_0,group_0089_genome_018_0,group_0089_genome_019_0,group_0089_genome_020_0,group_0089_genome_021_0,group_0089_genome_022_0,group_0089_genome_023_0,group_0089_genome_024_0,group_0089_genome_025_0,group_0089_genome_026_0,group_0089_genome_027_0,group_0089_genome_028_0,group_0089_genome_029_0,group_0089_genome_030_0
group_0090,group_0090,flagellar protein,,,,,,,,,,,,,group_0090_genome_002_0,group_0090_genome_003_0,,group_0090_genome_005_0,group_0090_genome_006_0,group_0090_genome_007_0,,,group_0090_genome_010_0,,,,group_0090_genome_014_0,group_0090_genome_015_0,group_0090_genome_016_0,group_0090_genome_017_0,group_0090_genome_018_0,group_0090_genome_019_0,group_0090_genome_020_0,,group_0090_genome_022_0,group_0090_genome_023_0,group_0090_genome_024_0,,group_0090_genome_026_0,,,,group_0090_genome_030_0
group_0091,group_0091,beta-lactamase,,,,,,,,,,,,group_0091_genome_001_0,group_0091_genome_002_0,group_0091_genome_003_0,group_0091_genome_004_0,group_0091_genome_005_0,group_0091_genome_006_0,group_0091_genome_007_0,group_0091_genome_008_0,group_0091_genome_009_0,group_0091_genome_010_0,group_0091_genome_011_0,group_0091_genome_012_0,group_0091_genome_013_0,group_0091_genome_014_0,group_0091_genome_015_0,group_0091_genome_016_0;group_0091_genome_016_1,group_0091_genome_017_0,group_0091_genome_018_0,,group_0091_genome_020_0,group_0091_genome_021_0,,,group_0091_genome_024_0,group_0091_genome_025_0,group_0091_genome_026_0,group_0091_genome_027_0,group_0091_genome_028_0,group_0091_genome_029_0,group_0091_genome_030_0
group_0092,group_0092,DNA polymerase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_0093,group_0093,DNA polymerase,,,,,,,,,,,,group_0093_genome_001_0,group_0093_genome_002_0,group_0093_genome_003_0,group_0093_genome_004_0,group_0093_genome_005_0;group_0093_genome_005_1,group_0093_genome_006_0,group_0093_genome_007_0,group_0093_genome_008_0,group_0093_genome_009_0,group_0093_genome_010_0,group_0093_genome_011_0,group_0093_genome_012_0,group_0093_genome_013_0,group_0093_genome_014_0,group_0093_genome_015_0,group_0093_genome_016_0,group_0093_genome_017_0,group_0093_genome_018_0,group_0093_genome_019_0,group_0093_genome_020_0,group_0093_genome_021_0,group_0093_genome_022_0,group_0093_genome_023_0,group_0093_genome_024_0,group_0093_genome_025_0,group_0093_genome_026_0,group_0093_genome_027_0,,group_0093_genome_029_0,group_0093_genome_030_0
group_0094,group_0094,flagellar protein,,,,,,,,,,,,group_0094_genome_001_0,group_0094_genome_002_0,group_0094_genome_003_0,group_0094_genome_004_0,group_0094_genome_005_0,group_0094_genome_006_0,group_0094_genome_007_0,group_0094_genome_008_0,group_0094_genome_009_0,group_0094_genome_010_0,group_0094_genome_011_0,group_0094_genome_012_0,group_0094_genome_013_0,group_0094_genome_014_0,group_0094_genome_015_0,group_0094_genome_016_0,group_0094_genome_017_0,group_0094_genome_018_0,group_0094_genome_019_0,group_0094_genome_020_0,group_0094_genome_021_0,group_0094_genome_022_0,group_0094_genome_023_0,group_0094_genome_024_0,group_0094_genome_025_0,group_0094_genome_026_0,group_0094_genome_027_0,group_0094_genome_028_0,group_0094_genome_029_0,group_0094_genome_030_0
